,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
2268,32702,,102.339,43.7591,,7.846,7.3,,6.68,,,,41.6835,4.20018,F5,1.79011,-37.075,-50.959,0.5460000000000003,0.2638947147850704
2269,32723,,102.399,35.1406,,11.51,10.18,9.722,8.64,7.689,7.104,6.919,27.5386,7.98029,K5,0.127477,155.518,-310.898,1.33,0.246317370975595
2270,32728,,102.409,36.4415,,9.617,8.96,8.6,8.24,7.684,7.321,7.277,46.62,5.61714,G0,0.502985,191.16,-139.91,0.657,0.14008551538107367
2271,32754,,102.457,55.8823,,11.667,10.39,9.943,8.93,8.036,7.463,7.321,34.688,7.6891,K4/5V,0.152758,-15.378,-221.204,1.2769999999999992,0.198519431796974
2272,32765,,102.478,-46.6146,5.57,5.6,5.14,,4.6,4.3,4.04,3.984,25.189,3.13394,F5III,4.63126,-1.316,373.42,0.45999999999999996,0.6441251076550407
2273,32769,,102.488,60.3355,,9.799,8.59,7.9,7.24,6.335,5.729,5.612,16.9126,7.44895,M0p,0.179873,253.252,410.685,1.2089999999999996,0.3935414363335752
2274,32775,,102.504,-60.2491,,6.567,6.11,7.26,5.58,5.305,5.128,5.02,34.0406,3.45002,F7III-IV,3.45961,4.663,108.377,0.45699999999999985,0.4105699066956938
2275,32806,,102.582,60.9289,,9.4,8.61,8.1,7.78,7.173,6.742,6.672,39.4953,5.62728,G5,0.546634,-233.076,-185.923,0.7900000000000009,0.19441909074473446
2276,32851,,102.708,-0.540882,,6.176,5.78,,5.32,,,,29.9006,3.4016,F2V,3.588,20.479,-186.381,0.3959999999999999,0.44299696136984507
2277,32874,,102.752,25.7604,,7.58,6.98,6.6,6.31,5.898,5.611,5.593,34.4482,4.29417,F8,1.67188,10.799,-198.4,0.5999999999999996,0.32583350788244947
2278,32916,,102.877,40.8678,,8.829,8.1,,7.32,,,,43.0934,4.92795,G0,0.996704,34.587,-122.797,0.729000000000001,0.2273483406275494
2279,32919,,102.885,47.3678,,10.182,8.95,8.2,7.56,6.651,6.048,5.897,18.6611,7.59531,K2,0.160257,-245.02,-693.407,1.232000000000001,0.34977419905409196
2280,32933,,102.918,5.75471,,10.587,9.61,9.0,8.59,8.007,7.587,7.442,44.3052,6.37773,?,0.321138,-236.594,-115.206,0.9770000000000003,0.16097930893138476
2281,32939,,102.928,-43.8873,,11.146,10.06,9.882,9.01,7.51,6.877,6.705,25.5732,8.02107,M0V,0.0806031,55.835,-28.53,1.0860000000000003,0.1576188030631073
2282,32970,,103.008,-33.9156,,7.824,7.21,,6.53,,,,46.3467,3.87991,G1V,2.46521,-69.326,68.089,0.6139999999999999,0.2979677111784895
2283,32971,,103.01,-11.2045,,8.131,7.41,,6.64,,,,47.1959,4.04048,G5,2.25019,-59.772,9.534,0.7210000000000001,0.30927722889028547
2284,32984,,103.075,-5.17371,,7.651,6.58,,5.54,5.01,4.29,4.11,8.74915,6.87017,K3V,0.228564,-543.616,-3.491,1.0709999999999997,0.7618975374688332
2285,33020,,103.201,-21.7177,,12.679,11.26,10.885,9.54,8.281,7.62,7.445,41.7439,8.15704,M0,0.13827,70.708,-50.259,1.4190000000000005,0.1851044612194684
2286,33037,,103.248,-23.1077,,9.966,8.99,,7.97,7.258,6.726,6.59,30.5093,6.56784,K2/K3V,0.269175,218.901,76.425,0.9759999999999991,0.21383214503120668
2287,33094,,103.391,-28.5398,,6.758,6.05,,5.32,4.798,4.565,4.334,25.8272,3.98961,G3/G5V,2.33275,282.144,-442.0,0.7080000000000002,0.5693004323029648
2288,33109,,103.437,-9.51547,,7.616,7.05,,6.41,6.044,5.81,5.685,38.9393,4.09806,F5,1.98019,-69.036,-31.341,0.5659999999999998,0.30313487600521355
2289,33142,,103.518,60.8718,,12.562,11.01,10.0,8.56,7.128,6.604,6.345,10.8272,10.8374,M:,0.0237827,493.219,-984.662,1.5519999999999996,0.2919882357072995
2290,33202,,103.661,13.1778,,5.051,4.73,,4.37,,,,29.4825,2.38218,F0Vp,8.98639,68.745,-86.832,0.32099999999999973,0.649997043017071
2291,33212,,103.678,24.2456,,7.422,6.84,,6.19,5.776,5.516,5.467,31.1944,4.36961,F8,1.54778,-35.915,-96.881,0.5819999999999999,0.3402503867824232
2292,33226,,103.704,33.2682,,11.47,9.89,9.65,7.33,6.104,5.526,5.275,5.58147,11.1563,K:...,0.0208019,-726.394,-398.134,1.58,0.5270726150673568
2293,33229,,103.714,-55.2593,,8.941,8.17,7.94,7.37,6.813,6.451,6.328,35.0909,5.44403,G7V,0.638625,-27.951,-160.436,0.7710000000000008,0.23224447672419382
2294,33241,,103.737,12.1581,,11.839,10.58,10.1,9.15,8.277,7.626,7.52,40.7446,7.52965,M1,0.171985,-75.943,-375.965,1.2590000000000003,0.17489917722268983
2295,33277,,103.828,25.3757,,6.313,5.74,,5.04,4.913,4.509,4.293,17.4695,4.52859,G0V,1.33438,-37.882,24.211,0.5729999999999995,0.5587357282885388
2296,33282,,103.848,44.422,,12.644,11.3,10.775,9.74,8.833,8.232,8.054,48.2765,7.88132,K6V,0.143391,42.639,-216.042,1.3439999999999994,0.1518932512471983
2297,33287,,103.869,30.1619,,8.745,8.01,8.2,7.23,6.612,6.255,6.167,41.8975,4.89906,G0,1.02427,237.809,-257.075,0.7349999999999994,0.23876275006120484
2298,33302,,103.906,-20.1365,,5.034,4.66,,4.2,4.144,3.872,3.945,29.7975,2.2891,F2IV/V,9.87097,50.035,39.419,0.37399999999999967,0.7211719616868453
2299,33322,,103.967,55.6387,,11.582,10.23,9.778,8.66,7.767,7.146,6.974,27.2063,8.05665,K4,0.124078,88.596,41.654,1.3520000000000003,0.2532997439146089
2300,33324,,103.972,-56.9424,,7.975,7.39,,6.73,6.231,5.959,5.853,37.4414,4.52324,G2IV,1.34429,-4.463,617.83,0.585,0.2650513679767445
2301,33368,,104.092,46.9908,,12.13,10.906,10.469,,8.591,7.975,7.828,47.0823,7.54171,K7V,0.167473,-72.155,-122.547,1.2240000000000002,0.13973386838450305
2302,33373,,104.117,40.0743,,10.197,9.08,8.99,8.0,7.026,6.445,6.344,25.1458,7.07767,K5V,0.205647,116.71,-436.86,1.116999999999999,0.26207357333517395
2303,33382,,104.142,1.16208,,8.1,7.41,6.9,6.68,6.146,5.833,5.721,31.5211,4.91699,G8V,0.974946,-8.911,-577.709,0.6899999999999995,0.2976729100846884
2304,33390,,104.155,-59.1833,,13.85,12.35,12.004,10.28,9.334,8.69,8.47,42.813,9.19212,?,0.0767629,-150.879,454.289,1.5,0.13745601528985654
2305,33404,,104.213,-21.1415,,,12.0,,,11.739,11.493,11.429,29.8686,9.62393,?,,-14.27,-8.33,,
2306,33428,,104.27,30.7565,,11.039,9.68,9.308,8.09,7.097,6.437,6.28,18.8858,8.29932,M0,0.100745,89.528,-221.66,1.359,0.33171202462576665
2307,33449,,104.319,58.4228,5.71,5.2,4.35,3.7,3.5,2.85,2.38,2.32,45.2599,1.07143,G5III-IV,37.9,4.212,-138.094,0.8500000000000005,1.500100090044847
2308,33451,,104.323,-35.5072,,6.695,6.23,6.2,5.7,5.379,5.171,5.09,43.1034,3.05744,F5V,4.97454,-40.35,18.94,0.46499999999999986,0.3922854246012999
2309,33478,,104.391,-24.6308,,5.84,5.45,,4.99,5.104,4.622,4.486,44.2063,2.22258,F3V,10.5973,-38.658,90.074,0.3899999999999997,0.5117497723772352
2310,33495,,104.439,-52.6485,,7.387,6.91,,6.36,6.001,5.762,5.69,37.0645,4.06521,F5/F6V,1.97233,-10.722,-374.654,0.4769999999999994,0.29099635894042675
2311,33497,,104.443,22.8926,,8.178,7.62,7.3,6.99,6.596,6.382,6.301,44.6959,4.36866,G0,1.53965,-144.2,-141.991,0.5580000000000007,0.23096978359129483
2312,33499,,104.444,-44.2912,13.694,12.446,10.81,9.717,8.12,6.883,6.365,6.056,8.02736,11.2871,M4+...,0.0240675,-1117.24,-48.575,1.6359999999999992,0.40179397999821603
2313,33537,,104.549,22.4759,7.63,7.56,6.94,,6.25,5.718,5.434,5.311,24.9119,4.95796,G5V,0.915102,48.302,97.555,0.6199999999999992,0.33982160366082426
2314,33560,,104.609,-12.9918,11.375,10.302,9.14,8.443,7.78,6.903,6.368,6.19,22.5166,7.37749,K4V,0.177728,87.732,-110.994,1.161999999999999,0.27792564214601506
2315,33580,,104.657,51.8672,,8.739,8.06,7.6,7.32,6.805,6.507,6.47,40.2468,5.03634,G0,0.870051,-164.836,-209.762,0.6790000000000003,0.2177323215171513
2316,33595,,,104.698,26.0811,,6.72,6.2,5.9,5.61,5.114,4.987,4.821,45.8329,2.89411,,,-161.994,,
